NCTId,BriefTitle,OverallStatus,Facility,City,State,Zip,Country,SiteStatus
NCT05256641,Acalabrutinib Maintenance for the Treatment of Patients With Large B-cell Lymphoma,RECRUITING,University of Oklahoma,Oklahoma City,Oklahoma,73190,United States,NOT_YET_RECRUITING
NCT05570188,Anti-CD19 Universal CAR-NK Cells Therapy Combined With HSCT for B Cell Hematologic Malignancies,WITHDRAWN,Kunming Hope of Health Hospital,Kunming,Yunnan,650000,China,
NCT03233854,CD19/CD22 Chimeric Antigen Receptor (CAR) T Cells With or Without NKTR-255 in Adults With Recurrent or Refractory B Cell Malignancies,ACTIVE_NOT_RECRUITING,"Stanford University, School of Medicine",Palo Alto,California,94304,United States,
NCT02416466,CAR-T Hepatic Artery Infusions and Sir-Spheres for Liver Metastases,COMPLETED,Roger Williams Medical Center,Providence,Rhode Island,02908,United States,
NCT06964737,Anti-GARP Chimeric Antigen Receptor T Cell Therapy for the Treatment of Recurrent Grade III or IV Gliomas,RECRUITING,Ohio State University Comprehensive Cancer Center,Columbus,Ohio,43210,United States,RECRUITING
NCT06892145,Clinical Trial of CD19 Targeted CAR-T Cell in Refractory Adult SLE,RECRUITING,The First Affiliated Hospital of University of Science and Technology of China (Anhui Provincial Hospital),Hefei,Anhui,,China,RECRUITING
NCT06892145,Clinical Trial of CD19 Targeted CAR-T Cell in Refractory Adult SLE,RECRUITING,The Second Affiliated Hospital of Zhejiang University School of Medicine,Hangzhou,Zhejiang,,China,RECRUITING
NCT06709131,A Clinical Study to Explore the Safety and Efficacy of CT0991 in Relapsed/Refractory Acute Myeloid Leukemia,SUSPENDED,The first affiliated hospital of medical college of zhejiang university,Hangzhou,Zhejiang,310003,China,
NCT05194709,Study of Anti-5T4 CAR-NK Cell Therapy in Advanced Solid Tumors,UNKNOWN,Wuxi People's Hospital,Wuxi,Jiangsu,,China,RECRUITING
NCT03545815,Study of CRISPR-Cas9 Mediated PD-1 and TCR Gene-knocked Out Mesothelin-directed CAR-T Cells in Patients With Mesothelin Positive Multiple Solid Tumors.,UNKNOWN,Biotherapeutic Department and Hematology Department of Chinese PLA General Hospital,Beijing,,100853,China,RECRUITING
NCT06787989,BCMA-CD19 CCAR T Cell Treatment of Refractory Immune Thrombocytopenia Associated with Autoimmune Diseases,RECRUITING,West China Hospital,Chengdu,Sichuan,610041,China,RECRUITING
NCT04697290,CD19/CD20 Dual-CAR-T in B-cell Non-Hodgkin's Lymphoma Patients.,SUSPENDED,Beijing Tsinghua Changgung Hospital,Beijing,Beijing Municipality,,China,
NCT04089215,CD19-targeted CAR T Cells for Relapsed and Refractory (R/R) Non-Hodgkins Lymphoma,UNKNOWN,Beijing Cancer Hospital,Beijing,Beijing Municipality,,China,
NCT04089215,CD19-targeted CAR T Cells for Relapsed and Refractory (R/R) Non-Hodgkins Lymphoma,UNKNOWN,"Beijing Friendship Hospital, Capital Medical University",Beijing,Beijing Municipality,,China,
NCT04089215,CD19-targeted CAR T Cells for Relapsed and Refractory (R/R) Non-Hodgkins Lymphoma,UNKNOWN,Beijing Hospital,Beijing,Beijing Municipality,,China,
NCT04089215,CD19-targeted CAR T Cells for Relapsed and Refractory (R/R) Non-Hodgkins Lymphoma,UNKNOWN,Peking Union Medical College Hospital,Beijing,Beijing Municipality,,China,
NCT04089215,CD19-targeted CAR T Cells for Relapsed and Refractory (R/R) Non-Hodgkins Lymphoma,UNKNOWN,Guangdong General Hospital,Guangzhou,Guangdong,,China,
NCT04089215,CD19-targeted CAR T Cells for Relapsed and Refractory (R/R) Non-Hodgkins Lymphoma,UNKNOWN,The First Affiliated Hospital of Zhenzhou Universtity,Zhenzhou,Henan,,China,
NCT04089215,CD19-targeted CAR T Cells for Relapsed and Refractory (R/R) Non-Hodgkins Lymphoma,UNKNOWN,Jiangsu Cancer Hospital,Nanjing,Jiangsu,,China,
NCT04089215,CD19-targeted CAR T Cells for Relapsed and Refractory (R/R) Non-Hodgkins Lymphoma,UNKNOWN,Shanghai East Hospital,Shanghai,Shanghai Municipality,,China,
NCT04089215,CD19-targeted CAR T Cells for Relapsed and Refractory (R/R) Non-Hodgkins Lymphoma,UNKNOWN,Institute of Hematology&Hospital of Blood Disease CAMS,Tianjin,Tianjin Municipality,,China,
NCT04089215,CD19-targeted CAR T Cells for Relapsed and Refractory (R/R) Non-Hodgkins Lymphoma,UNKNOWN,Zhejiang Cancer Hospital,Hangzhou,Zhejiang,,China,
NCT05607420,Study Evaluating UCART20x22 in B-Cell Non-Hodgkin Lymphoma,RECRUITING,The University of Chicago Medical Center (UCMC),Chicago,Illinois,60637,United States,RECRUITING
NCT05607420,Study Evaluating UCART20x22 in B-Cell Non-Hodgkin Lymphoma,RECRUITING,Harvard Medical School - Massachusetts General Hospital,Boston,Massachusetts,02114,United States,RECRUITING
NCT05607420,Study Evaluating UCART20x22 in B-Cell Non-Hodgkin Lymphoma,RECRUITING,Rutgers Cancer Institute of New Jersey (CINJ) - New Brunswick,New Brunswick,New Jersey,08901,United States,RECRUITING
NCT05607420,Study Evaluating UCART20x22 in B-Cell Non-Hodgkin Lymphoma,RECRUITING,Sarah Cannon - St. David South Austin Medical Center,Austin,Texas,78704,United States,RECRUITING
NCT05607420,Study Evaluating UCART20x22 in B-Cell Non-Hodgkin Lymphoma,RECRUITING,Hospices Civils de Lyon (HCL) - Centre Hospitalier Lyon-Sud,Pierre-Bénite,Auvergne Rhone Alpe,69310,France,RECRUITING
NCT05607420,Study Evaluating UCART20x22 in B-Cell Non-Hodgkin Lymphoma,RECRUITING,Centre Hospitalier Universitaire de Montpellier (CHU Montpellier) - Hopital Saint-Eloi,Montpellier,Occitanie,34295,France,RECRUITING
NCT05607420,Study Evaluating UCART20x22 in B-Cell Non-Hodgkin Lymphoma,RECRUITING,Centre Hospitalier Universitaire de Nantes (CHU de Nantes)-Hotel-Dieu,Nantes,,44093,France,RECRUITING
NCT05607420,Study Evaluating UCART20x22 in B-Cell Non-Hodgkin Lymphoma,RECRUITING,Assistance Publique-Hopitaux de Paris (AP-HP) - Hopital Saint-Louis - Centre Integre en Cancerologie,Paris,Île-de-France Region,75010,France,RECRUITING
NCT05607420,Study Evaluating UCART20x22 in B-Cell Non-Hodgkin Lymphoma,RECRUITING,Universidad de Navarra - Clinica Universidad de Navarra (CUN) - Pamplona,Pamplona,Navarre,31008,Spain,RECRUITING
NCT05607420,Study Evaluating UCART20x22 in B-Cell Non-Hodgkin Lymphoma,RECRUITING,Hospital Universitario Virgen del Rocio (HUVR) - Instituto de Biomedicina de Sevilla (IBIS),Seville,,41013,Spain,RECRUITING
NCT04456959,InO - A Retrospective Study of UK Patients With Leukaemia,COMPLETED,University Hospitals Bristol NHS Foundation Trust,Bristol,,BS1 3NU,United Kingdom,
NCT04456959,InO - A Retrospective Study of UK Patients With Leukaemia,COMPLETED,University College London Hospital NHS Foundation Trust,London,,NW1 2PG,United Kingdom,
NCT04456959,InO - A Retrospective Study of UK Patients With Leukaemia,COMPLETED,The Royal Marsden NHS Foundation Trust of Fulham Road,London,,SW3 6JJ,United Kingdom,
NCT04456959,InO - A Retrospective Study of UK Patients With Leukaemia,COMPLETED,Taunton and Somerset NHS Foundation Trust of Musgrove Park Hospital,Taunton,,TA1 5DA,United Kingdom,
NCT06906380,A Long-term Follow-up Study of Patients With ARD103 CAR-T Cell Therapies,NOT_YET_RECRUITING,Novant Health Cancer Institute,Charlotte,North Carolina,28204,United States,
NCT06906380,A Long-term Follow-up Study of Patients With ARD103 CAR-T Cell Therapies,NOT_YET_RECRUITING,Novant Health Cancer Institute,Winston-Salem,North Carolina,27201,United States,
NCT06906380,A Long-term Follow-up Study of Patients With ARD103 CAR-T Cell Therapies,NOT_YET_RECRUITING,MD Anderson Cancer Center,Houston,Texas,77030,United States,
NCT02624258,"Pilot Study of Non-Viral, RNA-Redirected Autologous T Cells in Patients With Refractory or Relapsed Hodgkin Lymphoma",TERMINATED,Children's Hospital of Philadelphia,Philadelphia,Pennsylvania,19104,United States,
NCT03186118,Pilot Study of T-APCs Following CAR T Cell Immunotherapy for CD19+ Leukemia,ACTIVE_NOT_RECRUITING,Seattle Children's Hospital,Seattle,Washington,98105,United States,
NCT05748938,A Study of RD14-01 in Patients With Advanced Solid Tumors,UNKNOWN,920th Hospital of Joint Logistics Support Force of People's Liberation Army of China,Kunming,Yunnan,650000,China,RECRUITING
NCT04427449,4SCAR-CD44v6 T Cell Therapy Targeting Cancer,UNKNOWN,Shenzhen Children's Hospital,Shenzhen,Guangdong,518000,China,RECRUITING
NCT04427449,4SCAR-CD44v6 T Cell Therapy Targeting Cancer,UNKNOWN,Shenzhen Geno-immune Medical Institute,Shenzhen,Guangdong,518000,China,RECRUITING
NCT04427449,4SCAR-CD44v6 T Cell Therapy Targeting Cancer,UNKNOWN,Shenzhen Hospital of Southern Medical University,Shenzhen,Guangdong,518101,China,RECRUITING
NCT04427449,4SCAR-CD44v6 T Cell Therapy Targeting Cancer,UNKNOWN,"The Seventh Affilliated Hospital, Sun Yat-Sen University",Shenzhen,Guangdong,518107,China,RECRUITING
NCT03093168,BCMA Chimeric Antigen Receptor Expressing T Cells in Multiple Myeloma,UNKNOWN,Henan Province of TCM,Zhengzhou,Henan,,China,RECRUITING
NCT04420754,Study of AIC100 CAR T Cells in Relapsed/Refractory Thyroid Cancer,ACTIVE_NOT_RECRUITING,"City of Hope National Medical Center, City of Hope Medical Center",Duarte,California,91010,United States,
NCT04420754,Study of AIC100 CAR T Cells in Relapsed/Refractory Thyroid Cancer,ACTIVE_NOT_RECRUITING,Northwestern Memorial Hospital,Chicago,Illinois,60611,United States,
NCT04420754,Study of AIC100 CAR T Cells in Relapsed/Refractory Thyroid Cancer,ACTIVE_NOT_RECRUITING,Weill Cornell Medical College,New York,New York,10065,United States,
NCT04420754,Study of AIC100 CAR T Cells in Relapsed/Refractory Thyroid Cancer,ACTIVE_NOT_RECRUITING,MD Anderson Cancer Center,Houston,Texas,77030,United States,
NCT06389305,CIK Cell Therapy for Relapsed or Refractory Acute B-Lymphoblastic Leukemia: Prognostic Impact on Patients With Early CAR-T Cell Dysfunction,RECRUITING,Beijing GoBroad Hospital,Beijing,Beijing Municipality,102206,China,RECRUITING
NCT04107285,Looking at Cognitive and Brain Changes in People With Lymphoma Receiving CAR-T Therapy,RECRUITING,Memorial Sloan Kettering Cancer Center,New York,New York,10065,United States,RECRUITING
NCT06842589,Study of Therapeutic Efficacy of Anti-CD19 CAR-T Cell Therapy in Patients With MDR-SRNS,RECRUITING,"Children's Hospital, Zhejiang University School of Medicine",Hangzhou,Zhejiang,310000,China,RECRUITING
NCT06420089,CD5-deleted Chimeric Antigen Receptor Cells (Senza5 CART5) for T Cell Non-Hodgkin Lymphoma (NHL),RECRUITING,Columbia University Irving Medical Center,New York,New York,10032,United States,RECRUITING
NCT06420089,CD5-deleted Chimeric Antigen Receptor Cells (Senza5 CART5) for T Cell Non-Hodgkin Lymphoma (NHL),RECRUITING,University of Pennsylvania - Abramson Caner Center,Philadelphia,Pennsylvania,19104,United States,RECRUITING
NCT05057715,huCART-meso + VCN-01 in Pancreatic and Ovarian Cancer,ACTIVE_NOT_RECRUITING,University of Pennsylvania,Philadelphia,Pennsylvania,19104,United States,
NCT05166135,Latin American Real-world Study in Acute Leukemia,COMPLETED,Hospital Italiano de La Plata,La Plata,Buenos Aires,B1900AXI,Argentina,
NCT05166135,Latin American Real-world Study in Acute Leukemia,COMPLETED,Hospital Universitario Austral,Pilar,Buenos Aires,B1629ODT,Argentina,
NCT05166135,Latin American Real-world Study in Acute Leukemia,COMPLETED,FUNDALEU - Fundacion para combatir la Leucemia,Buenos Aires,Ciudad Autonoma Buenos Aires,1114,Argentina,
NCT05166135,Latin American Real-world Study in Acute Leukemia,COMPLETED,Hospital Privado Centro Medico de Cordoba S.A.,Córdoba,,5016,Argentina,
NCT05166135,Latin American Real-world Study in Acute Leukemia,COMPLETED,Sanatorio Allende,Córdoba,,X5000JHQ,Argentina,
NCT05166135,Latin American Real-world Study in Acute Leukemia,COMPLETED,Hospital São Rafael,Salvador,Estado de Bahia,41253-190,Brazil,
NCT05166135,Latin American Real-world Study in Acute Leukemia,COMPLETED,Fundação Doutor Amaral Carvalho,Jaú,SAO Paulo / Brazil,17210-120,Brazil,
NCT05166135,Latin American Real-world Study in Acute Leukemia,COMPLETED,Instituto COI de Pesquisa,Rio de Janeiro,,22793-080,Brazil,
NCT05166135,Latin American Real-world Study in Acute Leukemia,COMPLETED,ICESP - Instituto do Câncer do Estado de São Paulo Octavio Frias de Oliveira,São Paulo,,01246-000,Brazil,
NCT05166135,Latin American Real-world Study in Acute Leukemia,COMPLETED,Hospital Beneficência Portuguesa de São Paulo,São Paulo,,01323-001,Brazil,
NCT05166135,Latin American Real-world Study in Acute Leukemia,COMPLETED,Hospital Israelita Albert Einstein,São Paulo,,05652000,Brazil,
NCT05166135,Latin American Real-world Study in Acute Leukemia,COMPLETED,Hospital Guillermo Grant Benavente,Concepción,,4070038,Chile,
NCT05166135,Latin American Real-world Study in Acute Leukemia,COMPLETED,Fundacion Santa Fe de Bogota,Bogotá,,111071,Colombia,
NCT05166135,Latin American Real-world Study in Acute Leukemia,COMPLETED,Oncomedica SA,Montería,,230002,Colombia,
NCT04025216,A Study of CART-TnMUC1 in Patients With TnMUC1-Positive Advanced Cancers,TERMINATED,Mayo Clinic of Arizona,Phoenix,Arizona,85054,United States,
NCT04025216,A Study of CART-TnMUC1 in Patients With TnMUC1-Positive Advanced Cancers,TERMINATED,The Angeles Clinic and Research Institute,Los Angeles,California,90025,United States,
NCT04025216,A Study of CART-TnMUC1 in Patients With TnMUC1-Positive Advanced Cancers,TERMINATED,Moffitt Cancer Center,Tampa,Florida,33637,United States,
NCT04025216,A Study of CART-TnMUC1 in Patients With TnMUC1-Positive Advanced Cancers,TERMINATED,University of Chicago Medical Center,Chicago,Illinois,60637,United States,
NCT04025216,A Study of CART-TnMUC1 in Patients With TnMUC1-Positive Advanced Cancers,TERMINATED,Washington University School of Medicine,St Louis,Missouri,63110,United States,
NCT04025216,A Study of CART-TnMUC1 in Patients With TnMUC1-Positive Advanced Cancers,TERMINATED,Hospital of the University of Pennsylvania,Philadelphia,Pennsylvania,19104,United States,
NCT04025216,A Study of CART-TnMUC1 in Patients With TnMUC1-Positive Advanced Cancers,TERMINATED,University of Pittsburgh Medical Center,Pittsburgh,Pennsylvania,15232,United States,
NCT04025216,A Study of CART-TnMUC1 in Patients With TnMUC1-Positive Advanced Cancers,TERMINATED,Sarah Cannon Research Institute,Nashville,Tennessee,37203,United States,
NCT04025216,A Study of CART-TnMUC1 in Patients With TnMUC1-Positive Advanced Cancers,TERMINATED,The University of Texas MD Anderson Cancer Center,Houston,Texas,77030,United States,
NCT04025216,A Study of CART-TnMUC1 in Patients With TnMUC1-Positive Advanced Cancers,TERMINATED,University of Washington Medical Center,Seattle,Washington,98195,United States,
NCT04416984,"Safety and Efficacy of ALLO-501A Anti-CD19 Allogeneic CAR T Cells in Adults With Relapsed/Refractory Large B Cell Lymphoma, Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma (ALPHA2)",ACTIVE_NOT_RECRUITING,Banner MD Anderson Cancer Center,Gilbert,Arizona,85234,United States,
NCT04416984,"Safety and Efficacy of ALLO-501A Anti-CD19 Allogeneic CAR T Cells in Adults With Relapsed/Refractory Large B Cell Lymphoma, Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma (ALPHA2)",ACTIVE_NOT_RECRUITING,Mayo Clinic Hospital,Phoenix,Arizona,85054,United States,
NCT04416984,"Safety and Efficacy of ALLO-501A Anti-CD19 Allogeneic CAR T Cells in Adults With Relapsed/Refractory Large B Cell Lymphoma, Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma (ALPHA2)",ACTIVE_NOT_RECRUITING,City of Hope,Duarte,California,91010,United States,
NCT04416984,"Safety and Efficacy of ALLO-501A Anti-CD19 Allogeneic CAR T Cells in Adults With Relapsed/Refractory Large B Cell Lymphoma, Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma (ALPHA2)",ACTIVE_NOT_RECRUITING,UCLA Medical Center,Los Angeles,California,90095,United States,
NCT04416984,"Safety and Efficacy of ALLO-501A Anti-CD19 Allogeneic CAR T Cells in Adults With Relapsed/Refractory Large B Cell Lymphoma, Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma (ALPHA2)",ACTIVE_NOT_RECRUITING,Stanford Cancer Institute,Palo Alto,California,94035,United States,
NCT04416984,"Safety and Efficacy of ALLO-501A Anti-CD19 Allogeneic CAR T Cells in Adults With Relapsed/Refractory Large B Cell Lymphoma, Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma (ALPHA2)",ACTIVE_NOT_RECRUITING,Colorado Blood Cancer Institute,Denver,Colorado,80218-1234,United States,
NCT04416984,"Safety and Efficacy of ALLO-501A Anti-CD19 Allogeneic CAR T Cells in Adults With Relapsed/Refractory Large B Cell Lymphoma, Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma (ALPHA2)",ACTIVE_NOT_RECRUITING,Yale School of Medicine,New Haven,Connecticut,06510,United States,
NCT04416984,"Safety and Efficacy of ALLO-501A Anti-CD19 Allogeneic CAR T Cells in Adults With Relapsed/Refractory Large B Cell Lymphoma, Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma (ALPHA2)",ACTIVE_NOT_RECRUITING,University of Miami,Miami,Florida,33136,United States,
NCT04416984,"Safety and Efficacy of ALLO-501A Anti-CD19 Allogeneic CAR T Cells in Adults With Relapsed/Refractory Large B Cell Lymphoma, Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma (ALPHA2)",ACTIVE_NOT_RECRUITING,Advent Health,Orlando,Florida,06510,United States,
NCT04416984,"Safety and Efficacy of ALLO-501A Anti-CD19 Allogeneic CAR T Cells in Adults With Relapsed/Refractory Large B Cell Lymphoma, Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma (ALPHA2)",ACTIVE_NOT_RECRUITING,Moffitt Cancer Center,Tampa,Florida,33612-9416,United States,
NCT04416984,"Safety and Efficacy of ALLO-501A Anti-CD19 Allogeneic CAR T Cells in Adults With Relapsed/Refractory Large B Cell Lymphoma, Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma (ALPHA2)",ACTIVE_NOT_RECRUITING,Northside Hospital - Atlanta,Atlanta,Georgia,30342,United States,
NCT04416984,"Safety and Efficacy of ALLO-501A Anti-CD19 Allogeneic CAR T Cells in Adults With Relapsed/Refractory Large B Cell Lymphoma, Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma (ALPHA2)",ACTIVE_NOT_RECRUITING,Augusta University,Augusta,Georgia,30912,United States,
NCT04416984,"Safety and Efficacy of ALLO-501A Anti-CD19 Allogeneic CAR T Cells in Adults With Relapsed/Refractory Large B Cell Lymphoma, Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma (ALPHA2)",ACTIVE_NOT_RECRUITING,Loyola University Medical Center,Maywood,Illinois,60153,United States,
NCT04416984,"Safety and Efficacy of ALLO-501A Anti-CD19 Allogeneic CAR T Cells in Adults With Relapsed/Refractory Large B Cell Lymphoma, Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma (ALPHA2)",ACTIVE_NOT_RECRUITING,Norton Cancer Institute,Louisville,Kentucky,40207,United States,
NCT04416984,"Safety and Efficacy of ALLO-501A Anti-CD19 Allogeneic CAR T Cells in Adults With Relapsed/Refractory Large B Cell Lymphoma, Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma (ALPHA2)",ACTIVE_NOT_RECRUITING,Karmanos Cancer Institute,Detroit,Michigan,48201,United States,
NCT04416984,"Safety and Efficacy of ALLO-501A Anti-CD19 Allogeneic CAR T Cells in Adults With Relapsed/Refractory Large B Cell Lymphoma, Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma (ALPHA2)",ACTIVE_NOT_RECRUITING,Memorial Sloan Kettering Cancer Center,New York,New York,10065,United States,
NCT04416984,"Safety and Efficacy of ALLO-501A Anti-CD19 Allogeneic CAR T Cells in Adults With Relapsed/Refractory Large B Cell Lymphoma, Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma (ALPHA2)",ACTIVE_NOT_RECRUITING,Providence Portland Medical Center,Portland,Oregon,97213,United States,
NCT04416984,"Safety and Efficacy of ALLO-501A Anti-CD19 Allogeneic CAR T Cells in Adults With Relapsed/Refractory Large B Cell Lymphoma, Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma (ALPHA2)",ACTIVE_NOT_RECRUITING,Allegheny General Hospital,Pittsburgh,Pennsylvania,15212,United States,
NCT04416984,"Safety and Efficacy of ALLO-501A Anti-CD19 Allogeneic CAR T Cells in Adults With Relapsed/Refractory Large B Cell Lymphoma, Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma (ALPHA2)",ACTIVE_NOT_RECRUITING,Avera Medical,Sioux Falls,South Dakota,57117,United States,
NCT04416984,"Safety and Efficacy of ALLO-501A Anti-CD19 Allogeneic CAR T Cells in Adults With Relapsed/Refractory Large B Cell Lymphoma, Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma (ALPHA2)",ACTIVE_NOT_RECRUITING,Vanderbilt Ingram Cancer Center,Nashville,Tennessee,37232,United States,
NCT04416984,"Safety and Efficacy of ALLO-501A Anti-CD19 Allogeneic CAR T Cells in Adults With Relapsed/Refractory Large B Cell Lymphoma, Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma (ALPHA2)",ACTIVE_NOT_RECRUITING,St. David's South Austin Medical Center,Austin,Texas,78704,United States,
NCT04416984,"Safety and Efficacy of ALLO-501A Anti-CD19 Allogeneic CAR T Cells in Adults With Relapsed/Refractory Large B Cell Lymphoma, Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma (ALPHA2)",ACTIVE_NOT_RECRUITING,Texas Oncology,Dallas,Texas,75251,United States,
NCT04416984,"Safety and Efficacy of ALLO-501A Anti-CD19 Allogeneic CAR T Cells in Adults With Relapsed/Refractory Large B Cell Lymphoma, Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma (ALPHA2)",ACTIVE_NOT_RECRUITING,MD Anderson Cancer Center - University of Texas,Houston,Texas,77030,United States,
NCT04416984,"Safety and Efficacy of ALLO-501A Anti-CD19 Allogeneic CAR T Cells in Adults With Relapsed/Refractory Large B Cell Lymphoma, Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma (ALPHA2)",ACTIVE_NOT_RECRUITING,Medical College of Wisconsin,Milwaukee,Wisconsin,53226,United States,
NCT04416984,"Safety and Efficacy of ALLO-501A Anti-CD19 Allogeneic CAR T Cells in Adults With Relapsed/Refractory Large B Cell Lymphoma, Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma (ALPHA2)",ACTIVE_NOT_RECRUITING,Princess Alexandra Hospital,Woolloongabba,Queensland,4102,Australia,
NCT04416984,"Safety and Efficacy of ALLO-501A Anti-CD19 Allogeneic CAR T Cells in Adults With Relapsed/Refractory Large B Cell Lymphoma, Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma (ALPHA2)",ACTIVE_NOT_RECRUITING,Monash Medical Centre,Clayton,Victoria,3168,Australia,
NCT04416984,"Safety and Efficacy of ALLO-501A Anti-CD19 Allogeneic CAR T Cells in Adults With Relapsed/Refractory Large B Cell Lymphoma, Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma (ALPHA2)",ACTIVE_NOT_RECRUITING,St. Vincent's Hospital Melbourne,Fitzroy,Victoria,3065,Australia,
NCT04416984,"Safety and Efficacy of ALLO-501A Anti-CD19 Allogeneic CAR T Cells in Adults With Relapsed/Refractory Large B Cell Lymphoma, Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma (ALPHA2)",ACTIVE_NOT_RECRUITING,QEII Health Sciences Centre-VG Site,Halifax,Nova Scotia,B3H 2Y9,Canada,
NCT04416984,"Safety and Efficacy of ALLO-501A Anti-CD19 Allogeneic CAR T Cells in Adults With Relapsed/Refractory Large B Cell Lymphoma, Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma (ALPHA2)",ACTIVE_NOT_RECRUITING,CHU de Québec -Université Laval; Hôpital de l'Enfant-Jésus,Québec,Quebec,G1J 1Z4,Canada,
NCT04884984,Anti-CLL1 CAR T-cell Therapy in CLL1 Positive Relapsed/Refractory Acute Myeloid Leukemia (AML),UNKNOWN,The First Affiliated Hospital of Soochow University,Suzhou,Jiangsu,215006,China,RECRUITING
NCT03049449,T Cells Expressing a Fully-Human Anti-CD30 Chimeric Antigen Receptor for Treating CD30-Expressing Lymphomas,COMPLETED,National Institutes of Health Clinical Center,Bethesda,Maryland,20892,United States,
NCT02659943,T Cells Expressing a Fully-human AntiCD19 Chimeric Antigen Receptor for Treating B-cell Malignancies,COMPLETED,"National Institutes of Health Clinical Center, 9000 Rockville Pike",Bethesda,Maryland,20892,United States,
NCT06978738,UCAR T-cell Therapy Targeting CD19/ BCMA in Patients With Relapse/ Refractory Autoimmune Diseases,NOT_YET_RECRUITING,Changzhou No.2 People's Hospital,Changzhou,,,China,
NCT07441525,UCAR-T Targeting CD19/BCMA in Subjects With Autoantibody-Mediated Autoimmune Benign Hematological Diseases,RECRUITING,"Union Hospital, Tongji Medical College, Huazhong University of Science & Technology",Wuhan,Hubei,,China,RECRUITING
NCT05934448,Pembro Plus CAR T-cell Therapy in R/R in PMBCL,RECRUITING,Dana-Farber Cancer Institute,Boston,Massachusetts,02215,United States,RECRUITING
NCT05934448,Pembro Plus CAR T-cell Therapy in R/R in PMBCL,RECRUITING,Memorial Sloan Kettering Cancer Center,New York,New York,10065,United States,RECRUITING
NCT07172958,Selective Antigen Specific T Cells and CAR T Cells in Subjects With Relapsed/Refractory Embryonal Tumors (SABRE),RECRUITING,Children's National Hospital,Washington D.C.,District of Columbia,20010,United States,RECRUITING
NCT07172958,Selective Antigen Specific T Cells and CAR T Cells in Subjects With Relapsed/Refractory Embryonal Tumors (SABRE),RECRUITING,Childrens National Hospital,Washington D.C.,District of Columbia,20010,United States,NOT_YET_RECRUITING
NCT05544526,CAR T Cells to Target GD2 for DMG,RECRUITING,Great Ormond Street Hospital,London,,,United Kingdom,RECRUITING
NCT07087847,Ex Vivo T-Cell-Depleted Haploidentical Transplantation Bridging With Chimeric Antigen Receptor T-cell Therapy and Prophylactic Memory T Cell Infusion for Acute Leukemia,NOT_YET_RECRUITING,"Ruijin Hospital, Shanghai Jiao Tong University School of Medicine",Shanghai,Shanghai Municipality,200025,China,
NCT06227026,Pilot Study of Anti-CD19 Chimeric Antigen Receptor T Cells (CAR-T Cells) for the Treatment of Relapsed/Refractory CD19+ Malignancies,RECRUITING,Huntsman Cancer Institute,Salt Lake City,Utah,84112,United States,RECRUITING
NCT06917105,Exploratory Clinical Study on the Safety and Efficacy of CAR-T Cell Therapy in the Treatment of Relapsed/Refractory Myeloid Malignancies,NOT_YET_RECRUITING,Tongji Hospital affiliated to Tongji Medical College of Huazhong University,Wuhan,Hubei,430030,China,
NCT06612645,Safety and Efficacy of CMD03 CAR T Cell in Children With Relapse or Refractory Solid Tumors,RECRUITING,King Chulalongkorn Memorial Hospital,Bangkok,Pathumwan,10330,Thailand,RECRUITING
NCT07077330,CAR19BCMA CAR-T Cells for the Treatment of R/R Plasma Cell Neoplasms,NOT_YET_RECRUITING,"The Four Medical Center of PLA General Hospital, China",Beijing,,,China,
NCT07077330,CAR19BCMA CAR-T Cells for the Treatment of R/R Plasma Cell Neoplasms,NOT_YET_RECRUITING,"The Six Medical Center of PLA General Hospital, China",Beijing,,,China,
